,#,Player,Age,Market value at time,Season,Nat.,Fee,Position,Left Club,Left League,Joined Club,Joined League,Loan,Fee (€)
1131,132,Daley Sinkgraven,19,€1.50m,14/15,Netherlands,€7.00m,Left-Back,Heerenveen,Eredivisie,Ajax,Eredivisie,False,7.0
1132,133,Majeed Waris,22,€2.50m,14/15,Ghana,€6.90m,Second Striker,Spartak Moscow,Premier Liga,Trabzonspor,Süper Lig,False,6.9
1133,134,Britt Assombalonga,21,€1.00m,14/15,"DR Congo, England",€6.90m,Centre-Forward,Peterborough,League One,Nott'm Forest,Championship,False,6.9
1134,135,Josuha Guilavogui,23,€10.00m,14/15,"France, Guinea","Loan fee:
€6.80m",Defensive Midfield,Atlético,LaLiga,Wolfsburg,Bundesliga,True,6.8
1135,136,Josip Drmic,21,€10.00m,14/15,"Switzerland, Croatia",€6.80m,Centre-Forward,1.FC Nuremberg,2. Bundesliga,Leverkusen,Bundesliga,False,6.8
1136,137,Florin Gardoș,25,€6.00m,14/15,Romania,€6.80m,Centre-Back,Steaua Bucharest,Liga 1,Southampton,Premier League,False,6.8
1137,138,Dele Alli,18,€2.00m,14/15,"England, Nigeria",€6.63m,Attacking Midfield,MK Dons,League One,Tottenham,Premier League,False,6.63
1138,139,Kyle Naughton,26,€5.00m,14/15,"England, Ireland",€6.60m,Right-Back,Tottenham,Premier League,Swansea,Premier League,False,6.6
1139,140,Darío Benedetto,24,€1.80m,14/15,"Argentina, Mexico",€6.60m,Centre-Forward,Club Tijuana,Liga MX Apertura,América,Liga MX Apertura,False,6.6
1140,141,Rodrigo De Paul,20,€3.50m,14/15,"Argentina, Italy",€6.55m,Central Midfield,Racing Club,Transición,Valencia,LaLiga,False,6.55
1141,142,Marko Livaja,20,€5.00m,14/15,Croatia,€6.50m,Centre-Forward,Atalanta,Serie A,Rubin Kazan,Premier Liga,False,6.5
1142,143,Yacine Brahimi,24,€4.00m,14/15,"Algeria, France",€6.50m,Left Winger,Granada CF,LaLiga,Porto,Liga NOS,False,6.5
1143,144,Wendell,20,€3.00m,14/15,Brazil,€6.50m,Left-Back,Grêmio,Série A,Leverkusen,Bundesliga,False,6.5
1144,145,Callum McManaman,23,€3.00m,14/15,"England, Ireland",€6.35m,Right Winger,Wigan,Championship,West Brom,Premier League,False,6.35
1145,146,Jordon Mutch,23,€6.00m,14/15,England,€6.34m,Central Midfield,QPR,Premier League,Crystal Palace,Premier League,False,6.34
1146,147,Emmanuel Rivière,24,€5.00m,14/15,"Martinique, France",€6.32m,Centre-Forward,Monaco,Ligue 1,Newcastle,Premier League,False,6.32
1147,148,Mirko Vučinić,30,€9.00m,14/15,Montenegro,€6.30m,Centre-Forward,Juventus,Serie A,Al-Jazira,UAE Pro League,False,6.3
1148,149,Bruno Ecuele Manga,26,€5.00m,14/15,"Gabon, France",€6.30m,Centre-Back,FC Lorient,Ligue 1,Cardiff,Championship,False,6.3
1149,150,Ashkan Dejagah,28,€3.00m,14/15,"Iran, Germany",€6.30m,Right Winger,Fulham,Championship,Al-Arabi SC,Stars League,False,6.3
1150,151,Antonio Sanabria,18,€4.50m,14/15,"Paraguay, Spain",€6.20m,Centre-Forward,Sassuolo,Serie A,Roma,Serie A,False,6.2
1151,152,Ezequiel Garay,27,€20.00m,14/15,"Argentina, Spain",€6.00m,Centre-Back,Benfica,Liga NOS,Zenit S-Pb,Premier Liga,False,6.0
1152,153,Valon Behrami,29,€12.00m,14/15,"Switzerland, Kosovo",€6.00m,Central Midfield,Napoli,Serie A,Hamburg,Bundesliga,False,6.0
1153,154,Demba Ba,29,€11.00m,14/15,"Senegal, France",€6.00m,Centre-Forward,Chelsea,Premier League,Besiktas,Süper Lig,False,6.0
1154,155,Jonathan de Guzmán,26,€10.00m,14/15,"Netherlands, Canada",€6.00m,Central Midfield,Villarreal,LaLiga,Napoli,Serie A,False,6.0
1155,156,Giuliano,24,€8.00m,14/15,Brazil,€6.00m,Attacking Midfield,Dnipro,Premier Liga,Grêmio,Série A,False,6.0
1156,157,Michy Batshuayi,20,€8.00m,14/15,"Belgium, DR Congo",€6.00m,Centre-Forward,Standard Liège,JPL,Marseille,Ligue 1,False,6.0
1157,158,Ádám Szalai,26,€7.00m,14/15,Hungary,€6.00m,Centre-Forward,FC Schalke 04,Bundesliga,Hoffenheim,Bundesliga,False,6.0
1158,159,Steven Defour,26,€6.00m,14/15,Belgium,€6.00m,Defensive Midfield,Porto,Liga NOS,RSC Anderlecht,JPL,False,6.0
1159,160,Roberto,28,€6.00m,14/15,Spain,€6.00m,Goalkeeper,Atlético,LaLiga,Olympiacos,Super League 1,False,6.0
1160,161,William Vainqueur,25,€6.00m,14/15,"France, Haiti",€6.00m,Defensive Midfield,Standard Liège,JPL,Dinamo Moscow,Premier Liga,False,6.0
1161,162,Admir Mehmedi,23,€5.50m,14/15,"Switzerland, North Macedonia",€6.00m,Second Striker,Dynamo Kyiv,Premier Liga,Freiburg,Bundesliga,False,6.0
1162,163,Dorlan Pabón,26,€5.00m,14/15,Colombia,€6.00m,Right Winger,Valencia,LaLiga,Monterrey,Liga MX Apertura,False,6.0
1163,164,Daryl Janmaat,25,€5.00m,14/15,Netherlands,€6.00m,Right-Back,Feyenoord,Eredivisie,Newcastle,Premier League,False,6.0
1164,165,Oussama Assaidi,26,€5.00m,14/15,"Morocco, Netherlands",€6.00m,Left Winger,Liverpool,Premier League,Al-Ahli (UAE),UAE Pro League,False,6.0
1165,166,Oumar Niasse,24,€4.00m,14/15,Senegal,€6.00m,Centre-Forward,Akhisar Belediye,Süper Lig,Loko Moskau,Premier Liga,False,6.0
1166,167,Carlos Sánchez,28,€4.00m,14/15,Colombia,€6.00m,Defensive Midfield,Elche CF,LaLiga,Aston Villa,Premier League,False,6.0
1167,168,Antunes,27,€3.00m,14/15,Portugal,€6.00m,Left-Back,Málaga CF,LaLiga,Dynamo Kyiv,Premier Liga,False,6.0
1168,169,Filip Kostić,21,€2.50m,14/15,Serbia,€6.00m,Left Midfield,FC Groningen,Eredivisie,Stuttgart,Bundesliga,False,6.0
1169,170,Roman Eremenko,27,€13.00m,14/15,"Finland, Russia",€5.90m,Attacking Midfield,Rubin Kazan,Premier Liga,CSKA Moscow,Premier Liga,False,5.9
1170,171,Benjamin Stambouli,24,€5.00m,14/15,"France, Algeria",€5.90m,Defensive Midfield,Montpellier,Ligue 1,Tottenham,Premier League,False,5.9
1171,172,Muriqui,28,€3.50m,14/15,Brazil,€5.90m,Left Winger,GZ Evergrande,Super League,Al-Sadd,Stars League,False,5.9
1172,173,Ishak Belfodil,22,€7.00m,14/15,"Algeria, France",€5.75m,Centre-Forward,Inter,Serie A,Parma,Serie A,False,5.75
1173,174,Michel Vorm,30,€7.00m,14/15,"Netherlands, Suriname",€5.70m,Goalkeeper,Swansea,Premier League,Tottenham,Premier League,False,5.7
1174,175,Eric Bailly,20,€1.00m,14/15,Cote d'Ivoire,€5.70m,Centre-Back,Espanyol,LaLiga,Villarreal,LaLiga,False,5.7
1175,176,Hai Yu,27,€600k,14/15,China,€5.60m,Left-Back,GZ Renhe,Super League,SH SIPG,Super League,False,5.6
1176,177,Isaác Brizuela,24,€2.00m,14/15,"Mexico, United States",€5.58m,Right Winger,Toluca,Liga MX Apertura,Chivas,Liga MX Apertura,False,5.58
1177,178,Luciano Vietto,20,€8.50m,14/15,"Argentina, Italy",€5.50m,Centre-Forward,Racing Club,Transición,Villarreal,LaLiga,False,5.5
1178,179,Sime Vrsaljko,22,€7.50m,14/15,Croatia,€5.50m,Right-Back,Genoa,Serie A,Sassuolo,Serie A,False,5.5
1179,180,Oliver Baumann,24,€7.00m,14/15,Germany,€5.50m,Goalkeeper,Freiburg,Bundesliga,Hoffenheim,Bundesliga,False,5.5
1180,181,Alberto Gilardino,32,€5.00m,14/15,Italy,€5.50m,Centre-Forward,Genoa,Serie A,GZ Evergrande,Super League,False,5.5
1181,182,Grzegorz Krychowiak,24,€5.00m,14/15,Poland,€5.50m,Defensive Midfield,Stade Reims,Ligue 1,Sevilla FC,LaLiga,False,5.5
1182,183,Rickie Lambert,32,€5.00m,14/15,England,€5.50m,Centre-Forward,Southampton,Premier League,Liverpool,Premier League,False,5.5
1183,184,Luuk de Jong,23,€5.00m,14/15,Netherlands,€5.50m,Centre-Forward,Mönchengladbach,Bundesliga,PSV,Eredivisie,False,5.5
1184,185,Diego Tardelli,29,€3.50m,14/15,"Brazil, Italy",€5.50m,Centre-Forward,Atlético-MG,Série A,SD Luneng,Super League,False,5.5
1185,186,Alexander Büttner,25,€3.50m,14/15,Netherlands,€5.50m,Left-Back,Man Utd,Premier League,Dinamo Moscow,Premier Liga,False,5.5
1186,187,Andrea Belotti,20,€2.50m,14/15,Italy,€5.50m,Centre-Forward,UC AlbinoLeffe,Serie C - A,US Palermo,Serie A,False,5.5
1187,188,Hanchao Yu,27,€500k,14/15,China,€5.50m,Left Winger,DL Aerbin,Super League,GZ Evergrande,Super League,False,5.5
1188,189,Giacomo Bonaventura,25,€10.00m,14/15,Italy,€5.30m,Attacking Midfield,Atalanta,Serie A,AC Milan,Serie A,False,5.3
1189,190,David López,24,€5.00m,14/15,Spain,€5.30m,Centre-Back,Espanyol,LaLiga,Napoli,Serie A,False,5.3
1190,191,Pape Souaré,24,€3.50m,14/15,Senegal,€5.30m,Left-Back,Lille,Ligue 1,Crystal Palace,Premier League,False,5.3
1191,192,Hernane,28,€2.00m,14/15,Brazil,€5.30m,Centre-Forward,Flamengo,Série A,Al-Nassr,Saudi Pro League,False,5.3
1192,193,Bryan Cristante,19,€3.00m,14/15,"Italy, Canada",€5.20m,Defensive Midfield,AC Milan,Serie A,Benfica,Liga NOS,False,5.2
1193,194,José Izquierdo,22,€300k,14/15,Colombia,€5.01m,Left Winger,Once Caldas,Liga Postobón II,Club Brugge,JPL,False,5.01
1194,195,Óscar Cardozo,31,€9.00m,14/15,"Paraguay, Portugal",€5.00m,Centre-Forward,Benfica,Liga NOS,Trabzonspor,Süper Lig,False,5.0
1195,196,Pablo Hernández,29,€8.00m,14/15,Spain,€5.00m,Right Winger,Swansea,Premier League,Al-Arabi SC,Stars League,False,5.0
1196,197,Massimo Bruno,20,€8.00m,14/15,"Belgium, Italy",€5.00m,Right Winger,RSC Anderlecht,JPL,Leipzig,2. Bundesliga,False,5.0
1197,198,Matheus Dória,19,€8.00m,14/15,"Brazil, Mexico",€5.00m,Centre-Back,Botafogo,Série A,Marseille,Ligue 1,False,5.0
1198,199,Romain Alessandrini,25,€7.50m,14/15,France,€5.00m,Right Winger,Stade Rennais,Ligue 1,Marseille,Ligue 1,False,5.0
1199,200,Chico Flores,27,€6.50m,14/15,Spain,€5.00m,Centre-Back,Swansea,Premier League,Lekhwiya SC,Stars League,False,5.0
1200,201,Alen Halilovic,18,€6.50m,14/15,Croatia,€5.00m,Attacking Midfield,Dinamo Zagreb,SuperSport HNL,Barcelona B,2ª División,False,5.0
1201,202,Sergio Asenjo,25,€5.00m,14/15,Spain,€5.00m,Goalkeeper,Atlético,LaLiga,Villarreal,LaLiga,False,5.0
1202,203,Vadis Odjidja-Ofoe,25,€5.00m,14/15,"Belgium, Ghana",€5.00m,Central Midfield,Club Brugge,JPL,Norwich,Championship,False,5.0
1203,204,Luca Marrone,24,€4.50m,14/15,Italy,€5.00m,Centre-Back,Sassuolo,Serie A,Juventus,Serie A,False,5.0
1204,205,Alan Kasaev,28,€4.00m,14/15,Russia,€5.00m,Left Winger,Rubin Kazan,Premier Liga,Loko Moskau,Premier Liga,False,5.0
1205,206,Jonathan Pitroipa,28,€4.00m,14/15,Burkina Faso,€5.00m,Right Winger,Stade Rennais,Ligue 1,Al-Jazira,UAE Pro League,False,5.0
1206,207,Lucas Mendes,24,€4.00m,14/15,"Qatar, Brazil",€5.00m,Centre-Back,Marseille,Ligue 1,El-Jaish,Stars League,False,5.0
1207,208,Pajtim Kasami,22,€3.50m,14/15,"Switzerland, North Macedonia",€5.00m,Central Midfield,Fulham,Championship,Olympiacos,Super League 1,False,5.0
1208,209,Eric Dier,20,€3.50m,14/15,"England, Portugal",€5.00m,Centre-Back,Sporting,Liga NOS,Tottenham,Premier League,False,5.0
1209,210,Jefferson Montero,24,€3.30m,14/15,Ecuador,€5.00m,Left Winger,Monarcas Morelia,Liga MX Apertura,Swansea,Premier League,False,5.0
1210,211,Diafra Sakho,24,€3.00m,14/15,"Senegal, France",€5.00m,Centre-Forward,FC Metz,Ligue 1,West Ham,Premier League,False,5.0
1211,212,Sammir,27,€3.00m,14/15,"Croatia, Brazil",€5.00m,Attacking Midfield,Getafe,LaLiga,JS Guoxin Sainty,Super League,False,5.0
1212,213,Joselu,24,€3.00m,14/15,"Spain, Germany",€5.00m,Centre-Forward,Hoffenheim,Bundesliga,Hannover 96,Bundesliga,False,5.0
1213,214,Karl Darlow,23,€1.00m,14/15,"Wales, England",€5.00m,Goalkeeper,Nott'm Forest,Championship,Newcastle,Premier League,False,5.0
1214,215,Jamaal Lascelles,20,€600k,14/15,"England, Barbados",€5.00m,Centre-Back,Nott'm Forest,Championship,Newcastle,Premier League,False,5.0
1215,216,Cristian Penilla,23,€1.50m,14/15,Ecuador,€4.95m,Left Winger,Barcelona SC,Serie A Segunda Etapa,Pachuca,Liga MX Apertura,False,4.95
1216,217,Nicolás Lodeiro,25,€2.00m,14/15,"Uruguay, United States",€4.92m,Attacking Midfield,Corinthians,Série A,Boca Juniors,Primera División,False,4.92
1217,218,Marco Benassi,19,€4.00m,14/15,Italy,€4.80m,Central Midfield,Inter,Serie A,Torino,Serie A,False,4.8
1218,219,Muhamed Besic,21,€2.50m,14/15,"Bosnia-Herzegovina, Germany",€4.80m,Defensive Midfield,Ferencváros,NB I.,Everton,Premier League,False,4.8
1219,220,Salih Uçan,20,€3.50m,14/15,Türkiye,"Loan fee:
€4.75m",Central Midfield,Fenerbahçe,Süper Lig,Roma,Serie A,True,4.75
1220,221,Tarık Çamdal,23,€2.70m,14/15,"Türkiye, Germany",€4.75m,Right-Back,Eskisehirspor,Süper Lig,Galatasaray,Süper Lig,False,4.75
1221,222,Aaron Cresswell,24,€1.50m,14/15,England,€4.75m,Left-Back,Ipswich,Championship,West Ham,Premier League,False,4.75
1222,223,Talisca,20,€400k,14/15,Brazil,€4.75m,Attacking Midfield,EC Bahia,Série A,Benfica,Liga NOS,False,4.75
1223,224,Federico Bonazzoli,17,€2.50m,14/15,Italy,€4.60m,Centre-Forward,Inter,Serie A,Sampdoria,Serie A,False,4.6
1224,225,Andrea Consigli,27,€8.00m,14/15,Italy,€4.50m,Goalkeeper,Atalanta,Serie A,Sassuolo,Serie A,False,4.5
1225,226,Gökhan Töre,22,€7.00m,14/15,"Türkiye, Germany",€4.50m,Right Winger,Rubin Kazan,Premier Liga,Besiktas,Süper Lig,False,4.5
1226,227,Nicolai Müller,26,€7.00m,14/15,Germany,€4.50m,Attacking Midfield,Mainz,Bundesliga,Hamburg,Bundesliga,False,4.5
1227,228,Marco Parolo,29,€6.00m,14/15,Italy,€4.50m,Central Midfield,Parma,Serie A,Lazio,Serie A,False,4.5
1228,229,Panagiotis Kone,27,€6.00m,14/15,"Greece, Albania",€4.50m,Central Midfield,Bologna,Serie B,Udinese,Serie A,False,4.5
1229,230,Abdelaziz Barrada,25,€5.50m,14/15,"Morocco, France",€4.50m,Attacking Midfield,Al-Jazira,UAE Pro League,Marseille,Ligue 1,False,4.5
1230,231,Federico Peluso,30,€3.80m,14/15,Italy,€4.50m,Left-Back,Juventus,Serie A,Sassuolo,Serie A,False,4.5
1231,232,Kyle Lafferty,26,€3.00m,14/15,Northern Ireland,€4.50m,Centre-Forward,US Palermo,Serie A,Norwich,Championship,False,4.5
1232,233,Jannik Vestergaard,22,€3.00m,14/15,"Denmark, Germany",€4.50m,Centre-Back,Hoffenheim,Bundesliga,Werder Bremen,Bundesliga,False,4.5
1233,234,Guilherme,23,€2.50m,14/15,"Qatar, Brazil",€4.50m,Defensive Midfield,Corinthians,Série A,Udinese,Serie A,False,4.5
1234,235,Alan Kardec,25,€1.50m,14/15,Brazil,€4.50m,Centre-Forward,Benfica,Liga NOS,São Paulo,Série A,False,4.5
1235,236,Patricio Rubio,25,-,14/15,Chile,€4.50m,Centre-Forward,U. de Chile,Torneo Clausura,Querétaro FC,Liga MX Apertura,False,4.5
1236,237,Danilo Barbosa,18,-,14/15,Brazil,€4.50m,Defensive Midfield,Vasco da Gama,Série B,Braga,Liga NOS,False,4.5
1237,238,Papu Gómez,26,€8.00m,14/15,"Argentina, Italy",€4.47m,Left Winger,Metalist Kharkiv,Premier Liga,Atalanta,Serie A,False,4.47
1238,239,Mohamed Diamé,27,€7.00m,14/15,"Senegal, France",€4.40m,Central Midfield,West Ham,Premier League,Hull City,Premier League,False,4.4
1239,240,Michael Dawson,30,€6.50m,14/15,England,€4.40m,Centre-Back,Tottenham,Premier League,Hull City,Premier League,False,4.4
1240,241,Hiroshi Kiyotake,24,€4.50m,14/15,Japan,€4.30m,Attacking Midfield,1.FC Nuremberg,2. Bundesliga,Hannover 96,Bundesliga,False,4.3
1241,242,Adil Rami,28,€8.00m,14/15,"France, Morocco",€4.25m,Centre-Back,Valencia,LaLiga,AC Milan,Serie A,False,4.25
1242,243,Carles Gil,22,€6.00m,14/15,Spain,€4.20m,Attacking Midfield,Valencia,LaLiga,Aston Villa,Premier League,False,4.2
1243,244,Ricardo Centurión,22,€4.00m,14/15,"Argentina, Italy",€4.20m,Left Winger,Racing Club,Primera División,São Paulo,Série A,False,4.2
1244,245,Dabao Yu,26,€500k,14/15,China,€4.20m,Centre-Back,DL Aerbin,League One,BJ Guoan,Super League,False,4.2
1245,246,Agustín Marchesín,26,€2.50m,14/15,"Argentina, Italy",€4.15m,Goalkeeper,Lanús,Primera División,Santos Laguna,Liga MX Apertura,False,4.15
1246,247,Edwin Cardona,22,€900k,14/15,Colombia,€4.15m,Attacking Midfield,Atl. Nacional,Liga Postobón II,Monterrey,Liga MX Apertura,False,4.15
1247,248,Daniel Agger,29,€15.00m,14/15,Denmark,€4.00m,Centre-Back,Liverpool,Premier League,Bröndby IF,Superliga,False,4.0
1248,249,Olcan Adın,28,€9.00m,14/15,Türkiye,€4.00m,Right Winger,Trabzonspor,Süper Lig,Galatasaray,Süper Lig,False,4.0
1249,250,Valentin Stocker,25,€7.00m,14/15,Switzerland,€4.00m,Left Winger,Basel,Super League,Hertha BSC,Bundesliga,False,4.0
1250,1,Kevin De Bruyne,24,€45.00m,15/16,Belgium,€76.00m,Attacking Midfield,Wolfsburg,Bundesliga,Man City,Premier League,False,76.0
1251,2,Raheem Sterling,20,€40.00m,15/16,"England, Jamaica",€63.70m,Right Winger,Liverpool,Premier League,Man City,Premier League,False,63.7
1252,3,Ángel Di María,27,€50.00m,15/16,"Argentina, Italy",€63.00m,Right Winger,Man Utd,Premier League,PSG,Ligue 1,False,63.0
1253,4,Anthony Martial,19,€8.00m,15/16,"France, Guadeloupe",€60.00m,Centre-Forward,Monaco,Ligue 1,Man Utd,Premier League,False,60.0
1254,5,Alex Teixeira,26,€30.00m,15/16,Brazil,€50.00m,Second Striker,Shakhtar D.,Premier Liga,JS Suning,Super League,False,50.0
1255,6,Christian Benteke,24,€20.00m,15/16,"Belgium, DR Congo",€46.50m,Centre-Forward,Aston Villa,Premier League,Liverpool,Premier League,False,46.5
1256,7,Nicolás Otamendi,27,€25.00m,15/16,Argentina,€44.50m,Centre-Back,Valencia,LaLiga,Man City,Premier League,False,44.5
1257,8,Julian Draxler,21,€22.00m,15/16,Germany,€43.00m,Left Winger,FC Schalke 04,Bundesliga,Wolfsburg,Bundesliga,False,43.0
1258,9,Jackson Martínez,29,€30.00m,15/16,Colombia,€42.00m,Centre-Forward,Atlético,LaLiga,GZ Evergrande,Super League,False,42.0
1259,10,Paulo Dybala,21,€28.00m,15/16,"Argentina, Italy",€41.00m,Second Striker,US Palermo,Serie A,Juventus,Serie A,False,41.0
1260,11,Roberto Firmino,23,€25.00m,15/16,Brazil,€41.00m,Centre-Forward,Hoffenheim,Bundesliga,Liverpool,Premier League,False,41.0
1261,12,Arturo Vidal,28,€42.00m,15/16,Chile,€39.25m,Central Midfield,Juventus,Serie A,Bayern Munich,Bundesliga,False,39.25
1262,13,Mateo Kovacic,21,€22.00m,15/16,Croatia,€38.00m,Central Midfield,Inter,Serie A,Real Madrid,LaLiga,False,38.0
1263,14,Geoffrey Kondogbia,22,€16.00m,15/16,"Central African Republic, France",€36.00m,Defensive Midfield,Monaco,Ligue 1,Inter,Serie A,False,36.0
1264,15,Jackson Martínez,28,€35.00m,15/16,Colombia,€35.00m,Centre-Forward,Porto,Liga NOS,Atlético,LaLiga,False,35.0
1265,16,Morgan Schneiderlin,25,€28.00m,15/16,France,€35.00m,Defensive Midfield,Southampton,Premier League,Man Utd,Premier League,False,35.0
1266,17,Arda Turan,28,€35.00m,15/16,Türkiye,€34.00m,Left Winger,Atlético,LaLiga,Barcelona,LaLiga,False,34.0
1267,18,Memphis Depay,21,€28.00m,15/16,"Netherlands, Ghana",€34.00m,Centre-Forward,PSV,Eredivisie,Man Utd,Premier League,False,34.0
1268,19,Carlos Bacca,28,€25.00m,15/16,Colombia,€33.30m,Centre-Forward,Sevilla FC,LaLiga,AC Milan,Serie A,False,33.3
1269,20,Danilo,23,€25.00m,15/16,Brazil,€31.50m,Centre-Back,Porto,Liga NOS,Real Madrid,LaLiga,False,31.5
1270,21,Douglas Costa,24,€23.00m,15/16,Brazil,€30.00m,Right Winger,Shakhtar D.,Premier Liga,Bayern Munich,Bundesliga,False,30.0
1271,22,Rodrigo,24,€18.00m,15/16,"Spain, Brazil",€30.00m,Centre-Forward,Benfica,Liga NOS,Valencia,LaLiga,False,30.0
1272,23,Heung-min Son,23,€16.00m,15/16,"Korea, South",€30.00m,Left Winger,Leverkusen,Bundesliga,Tottenham,Premier League,False,30.0
1273,24,Ramires,28,€25.00m,15/16,Brazil,€28.00m,Central Midfield,Chelsea,Premier League,JS Suning,Super League,False,28.0
1274,25,Alex Sandro,24,€20.00m,15/16,Brazil,€28.00m,Left-Back,Porto,Liga NOS,Juventus,Serie A,False,28.0
1275,26,Álvaro Negredo,29,€18.00m,15/16,Spain,€28.00m,Centre-Forward,Man City,Premier League,Valencia,LaLiga,False,28.0
1276,27,Pedro,28,€20.00m,15/16,Spain,€27.00m,Right Winger,Barcelona,LaLiga,Chelsea,Premier League,False,27.0
1277,28,Abdul Rahman Baba,21,€10.00m,15/16,Ghana,€26.00m,Left-Back,Augsburg,Bundesliga,Chelsea,Premier League,False,26.0
1278,29,Layvin Kurzawa,22,€10.00m,15/16,"France, Guadeloupe",€25.00m,Left-Back,Monaco,Ligue 1,PSG,Ligue 1,False,25.0
1279,30,Alessio Romagnoli,20,€8.50m,15/16,Italy,€25.00m,Centre-Back,Roma,Serie A,AC Milan,Serie A,False,25.0
1280,31,Giannelli Imbula,23,€16.00m,15/16,"DR Congo, France",€24.25m,Defensive Midfield,Porto,Liga NOS,Stoke City,Premier League,False,24.25
1281,32,Aymen Abdennour,26,€10.00m,15/16,Tunisia,€22.00m,Centre-Back,Monaco,Ligue 1,Valencia,LaLiga,False,22.0
1282,33,Raúl Jiménez,24,€5.00m,15/16,Mexico,€22.00m,Centre-Forward,Atlético,LaLiga,Benfica,Liga NOS,False,22.0
1283,34,Andrea Bertolacci,24,€15.00m,15/16,Italy,€21.00m,Central Midfield,Roma,Serie A,AC Milan,Serie A,False,21.0
1284,35,Luciano Vietto,21,€20.00m,15/16,"Argentina, Italy",€20.00m,Centre-Forward,Villarreal,LaLiga,Atlético,LaLiga,False,20.0
1285,36,André Gomes,21,€20.00m,15/16,Portugal,€20.00m,Central Midfield,Benfica,Liga NOS,Valencia,LaLiga,False,20.0
1286,37,Georginio Wijnaldum,24,€15.00m,15/16,"Netherlands, Suriname",€20.00m,Central Midfield,PSV,Eredivisie,Newcastle,Premier League,False,20.0
1287,38,Giannelli Imbula,22,€12.00m,15/16,"DR Congo, France",€20.00m,Defensive Midfield,Marseille,Ligue 1,Porto,Liga NOS,False,20.0
1288,39,Mario Mandžukić,29,€20.00m,15/16,Croatia,€19.00m,Centre-Forward,Atlético,LaLiga,Juventus,Serie A,False,19.0
1289,40,Ivan Perišić,26,€13.00m,15/16,Croatia,€19.00m,Left Winger,Wolfsburg,Bundesliga,Inter,Serie A,False,19.0
1290,41,Aleksandar Mitrović,20,€11.00m,15/16,Serbia,€18.50m,Centre-Forward,RSC Anderlecht,JPL,Newcastle,Premier League,False,18.5
1291,42,Elkeson,26,€4.50m,15/16,"China, Brazil",€18.50m,Centre-Forward,GZ Evergrande,Super League,SH SIPG,Super League,False,18.5
1292,43,Florian Thauvin,22,€12.00m,15/16,France,€18.35m,Right Winger,Marseille,Ligue 1,Newcastle,Premier League,False,18.35
1293,44,Gervinho,28,€15.00m,15/16,Cote d'Ivoire,€18.00m,Left Winger,Roma,Serie A,HB CFFC,Super League,False,18.0
1294,45,Matteo Darmian,25,€12.00m,15/16,Italy,€18.00m,Right-Back,Torino,Serie A,Man Utd,Premier League,False,18.0
1295,46,Simone Zaza,24,€11.00m,15/16,Italy,€18.00m,Centre-Forward,Sassuolo,Serie A,Juventus,Serie A,False,18.0
1296,47,Oumar Niasse,25,€10.00m,15/16,Senegal,€17.90m,Centre-Forward,Loko Moskau,Premier Liga,Everton,Premier League,False,17.9
1297,48,Nathaniel Clyne,24,€17.00m,15/16,"England, Grenada",€17.70m,Right-Back,Southampton,Premier League,Liverpool,Premier League,False,17.7
1298,49,Xherdan Shaqiri,23,€17.00m,15/16,"Switzerland, Kosovo",€17.00m,Attacking Midfield,Inter,Serie A,Stoke City,Premier League,False,17.0
1299,50,Salomón Rondón,25,€15.00m,15/16,Venezuela,€17.00m,Centre-Forward,Zenit S-Pb,Premier Liga,West Brom,Premier League,False,17.0
1300,51,Aleix Vidal,25,€10.00m,15/16,Spain,€17.00m,Right Winger,Sevilla FC,LaLiga,Barcelona,LaLiga,False,17.0
1301,52,Toby Alderweireld,26,€15.00m,15/16,Belgium,€16.00m,Centre-Back,Atlético,LaLiga,Tottenham,Premier League,False,16.0
1302,53,Filipe Luís,29,€15.00m,15/16,"Brazil, Poland",€16.00m,Left-Back,Chelsea,Premier League,Atlético,LaLiga,False,16.0
1303,54,Asier Illarramendi,25,€15.00m,15/16,Spain,€16.00m,Defensive Midfield,Real Madrid,LaLiga,Real Sociedad,LaLiga,False,16.0
1304,55,Moussa Sow,29,€13.00m,15/16,"Senegal, France",€16.00m,Centre-Forward,Fenerbahçe,Süper Lig,Al-Ahli (UAE),UAE Pro League,False,16.0
1305,56,Jonjo Shelvey,23,€12.00m,15/16,"England, Ireland",€16.00m,Central Midfield,Swansea,Premier League,Newcastle,Premier League,False,16.0
1306,57,Roberto Soldado,30,€10.00m,15/16,Spain,€16.00m,Centre-Forward,Tottenham,Premier League,Villarreal,LaLiga,False,16.0
1307,58,Andros Townsend,24,€8.00m,15/16,England,€15.70m,Right Winger,Tottenham,Premier League,Newcastle,Premier League,False,15.7
1308,59,Virgil van Dijk,24,€5.00m,15/16,"Netherlands, Suriname",€15.70m,Centre-Back,Celtic,Premiership,Southampton,Premier League,False,15.7
1309,60,Roberto Pereyra,24,€17.00m,15/16,Argentina,€15.00m,Central Midfield,Udinese,Serie A,Juventus,Serie A,False,15.0
1310,61,Xherdan Shaqiri,23,€17.00m,15/16,"Switzerland, Kosovo",€15.00m,Attacking Midfield,Bayern Munich,Bundesliga,Inter,Serie A,False,15.0
1311,62,Dimitri Payet,28,€13.00m,15/16,"France, Réunion",€15.00m,Attacking Midfield,Marseille,Ligue 1,West Ham,Premier League,False,15.0
