,#,Player,Age,Market value at time,Season,Nat.,Fee,Position,Left Club,Left League,Joined Club,Joined League,Loan,Fee (€)
41,42,João Moutinho,23,€14.50m,10/11,Portugal,€11.00m,Central Midfield,Sporting,Liga ZON Sagres,Porto,Liga ZON Sagres,False,11.0
42,43,José Manuel Jurado,24,€13.00m,10/11,Spain,€11.00m,Attacking Midfield,Atlético,LaLiga,FC Schalke 04,Bundesliga,False,11.0
43,44,Seydou Doumbia,22,€8.00m,10/11,Cote d'Ivoire,€11.00m,Centre-Forward,Young Boys,Super League,CSKA Moscow,Premier Liga,False,11.0
44,45,Giuliano,20,€8.00m,10/11,Brazil,€11.00m,Attacking Midfield,Internacional,Série A,Dnipro,Premier Liga,False,11.0
45,46,Rafael van der Vaart,27,€15.00m,10/11,"Netherlands, Spain",€10.50m,Attacking Midfield,Real Madrid,LaLiga,Tottenham,Premier League,False,10.5
46,47,Roberto Soldado,25,€10.00m,10/11,Spain,€10.00m,Centre-Forward,Getafe,LaLiga,Valencia,LaLiga,False,10.0
47,48,Sandro,21,€9.00m,10/11,"Brazil, Portugal",€10.00m,Central Midfield,Internacional,Série A,Tottenham,Premier League,False,10.0
48,49,Pedro León,23,€8.00m,10/11,Spain,€10.00m,Right Winger,Getafe,LaLiga,Real Madrid,LaLiga,False,10.0
49,50,Jucilei,22,€6.50m,10/11,"Brazil, Palestine",€10.00m,Defensive Midfield,Corinthians,Série A,Anzhi,Premier Liga,False,10.0
50,51,Nicolás Pareja,26,€6.00m,10/11,"Argentina, Italy",€10.00m,Centre-Back,Espanyol,LaLiga,Spartak Moscow,Premier Liga,False,10.0
51,52,Stephen Ireland,24,€13.00m,10/11,Ireland,€9.70m,Attacking Midfield,Man City,Premier League,Aston Villa,Premier League,False,9.7
52,53,Kenwyne Jones,25,€10.00m,10/11,Trinidad and Tobago,€9.70m,Centre-Forward,Sunderland,Premier League,Stoke City,Premier League,False,9.7
53,54,Adriano,25,€20.00m,10/11,"Brazil, Spain",€9.50m,Left-Back,Sevilla FC,LaLiga,Barcelona,LaLiga,False,9.5
54,55,Salvatore Bocchetti,23,€9.00m,10/11,"Italy, Russia",€9.50m,Centre-Back,Genoa,Serie A,Rubin Kazan,Premier Liga,False,9.5
55,56,Zoran Tosic,23,€5.50m,10/11,Serbia,€9.50m,Right Winger,Man Utd,Premier League,CSKA Moscow,Premier Liga,False,9.5
56,57,Miguel Veloso,24,€11.50m,10/11,Portugal,€9.00m,Defensive Midfield,Sporting,Liga ZON Sagres,Genoa,Serie A,False,9.0
57,58,Mamadou Niang,30,€11.00m,10/11,"Senegal, France",€9.00m,Centre-Forward,Marseille,Ligue 1,Fenerbahçe,Süper Lig,False,9.0
58,59,Obafemi Martins,25,€10.50m,10/11,"Nigeria, Italy",€9.00m,Centre-Forward,Wolfsburg,Bundesliga,Rubin Kazan,Premier Liga,False,9.0
59,60,Bebé,20,€100k,10/11,"Cape Verde, Portugal",€8.80m,Left Winger,Vit. Guimarães,Liga ZON Sagres,Man Utd,Premier League,False,8.8
60,61,Sebastián Blanco,22,€4.00m,10/11,"Argentina, Spain",€8.70m,Attacking Midfield,Lanús,Clausura,Metalist Kharkiv,Premier Liga,False,8.7
61,62,Zvjezdan Misimovic,28,€14.50m,10/11,"Bosnia-Herzegovina, Germany",€8.50m,Attacking Midfield,Wolfsburg,Bundesliga,Galatasaray,Süper Lig,False,8.5
62,63,Sergio Floccari,28,€10.00m,10/11,Italy,€8.50m,Centre-Forward,Genoa,Serie A,Lazio,Serie A,False,8.5
63,64,Víctor Ruiz,21,€4.00m,10/11,Spain,€8.50m,Centre-Back,Espanyol,LaLiga,Napoli,Serie A,False,8.5
64,65,Roberto,24,€2.00m,10/11,Spain,€8.50m,Goalkeeper,Atlético,LaLiga,Benfica,Liga ZON Sagres,False,8.5
65,66,Nico Gaitán,22,€5.00m,10/11,Argentina,€8.40m,Attacking Midfield,Boca Juniors,Clausura,Benfica,Liga ZON Sagres,False,8.4
66,67,Abdul Kader Keita,28,€10.00m,10/11,Cote d'Ivoire,€8.15m,Right Winger,Galatasaray,Süper Lig,Al-Sadd,Stars League,False,8.15
67,68,André Felipe,19,€4.00m,10/11,Brazil,€8.10m,Centre-Forward,Santos,Série A,Dynamo Kyiv,Premier Liga,False,8.1
68,69,Ricardo Carvalho,32,€17.50m,10/11,Portugal,€8.00m,Centre-Back,Chelsea,Premier League,Real Madrid,LaLiga,False,8.0
69,70,Diego Godín,24,€12.00m,10/11,"Uruguay, Spain",€8.00m,Centre-Back,Villarreal,LaLiga,Atlético,LaLiga,False,8.0
70,71,Rafinha,24,€12.00m,10/11,"Brazil, Germany",€8.00m,Right-Back,FC Schalke 04,Bundesliga,Genoa,Serie A,False,8.0
71,72,Oleksandr Aliev,26,€10.00m,10/11,"Ukraine, Russia",€8.00m,Attacking Midfield,Loko Moskau,Premier Liga,Dynamo Kyiv,Premier Liga,False,8.0
72,73,Moubarak Boussoufa,26,€9.00m,10/11,"Morocco, Netherlands",€8.00m,Attacking Midfield,RSC Anderlecht,JPL,Anzhi,Premier Liga,False,8.0
73,74,Nicolás Burdisso,29,€7.50m,10/11,"Argentina, Italy",€8.00m,Centre-Back,Inter,Serie A,Roma,Serie A,False,8.0
74,75,Ismaël Bangoura,25,€6.00m,10/11,"Guinea, France",€8.00m,Centre-Forward,Stade Rennais,Ligue 1,Al-Nasr,UAE Pro League,False,8.0
75,76,Chris Smalling,20,€2.00m,10/11,"England, Jamaica",€8.00m,Centre-Back,Fulham,Premier League,Man Utd,Premier League,False,8.0
76,77,Luís Fabiano,30,€8.00m,10/11,"Brazil, Spain",€7.60m,Centre-Forward,Sevilla FC,LaLiga,São Paulo,Série A,False,7.6
77,78,Heiko Westermann,26,€9.00m,10/11,Germany,€7.50m,Centre-Back,FC Schalke 04,Bundesliga,Hamburg,Bundesliga,False,7.5
78,79,Wesley,23,€6.00m,10/11,Brazil,€7.50m,Central Midfield,Santos,Série A,Werder Bremen,Bundesliga,False,7.5
79,80,Chicharito,22,€6.00m,10/11,Mexico,€7.50m,Centre-Forward,Chivas,Primera Apertura,Man Utd,Premier League,False,7.5
80,81,James Rodríguez,18,€2.50m,10/11,"Colombia, Spain",€7.35m,Attacking Midfield,Banfield,Clausura,Porto,Liga ZON Sagres,False,7.35
81,82,Ricardo Quaresma,26,€12.00m,10/11,Portugal,€7.30m,Right Winger,Inter,Serie A,Besiktas,Süper Lig,False,7.3
82,83,Eduardo,27,€10.50m,10/11,"Croatia, Brazil",€7.20m,Centre-Forward,Arsenal,Premier League,Shakhtar D.,Premier Liga,False,7.2
83,84,Steven Fletcher,23,€4.50m,10/11,"Scotland, England",€7.20m,Centre-Forward,Burnley,Championship,Wolves,Premier League,False,7.2
84,85,Yossi Benayoun,30,€10.50m,10/11,Israel,€7.00m,Right Winger,Liverpool,Premier League,Chelsea,Premier League,False,7.0
85,86,Stéphane Sessègnon,26,€8.50m,10/11,Benin,€7.00m,Attacking Midfield,PSG,Ligue 1,Sunderland,Premier League,False,7.0
86,87,Jonathan Biabiany,22,€8.50m,10/11,"France, Guadeloupe",€7.00m,Right Winger,Inter,Serie A,Sampdoria,Serie A,False,7.0
